"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=1 Ack=1 Win=1025 Len=0"
"2","0.005029","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=1 Ack=2849 Win=1025 Len=0"
"3","0.005029","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=1 Ack=4994 Win=1025 Len=0"
"4","0.005029","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"5","0.005029","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"6","0.005064","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=5192 Ack=145 Win=8209 Len=0"
"7","0.052486","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"8","0.052486","159.180.236.246","192.168.1.12","TLSv1.2","774","Application Data"
"9","0.052574","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=5192 Ack=2240 Win=8212 Len=0"
"10","0.052709","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"11","0.065182","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"12","0.065273","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"13","0.065322","192.168.1.12","159.180.236.246","TLSv1.2","1478","Application Data"
"14","0.065360","192.168.1.12","159.180.236.246","TLSv1.2","775","Application Data"
"15","0.065389","192.168.1.12","159.180.236.246","TLSv1.2","245","Application Data"
"16","0.074255","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=2240 Ack=6688 Win=1025 Len=0"
"17","0.074255","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=2240 Ack=9536 Win=1025 Len=0"
"18","0.074255","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=2240 Ack=10448 Win=1025 Len=0"
"19","0.074255","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"20","0.074255","159.180.236.246","192.168.1.12","TLSv1.2","126","Application Data"
"21","0.074358","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=10448 Ack=2384 Win=8211 Len=0"
"22","0.083082","159.180.236.246","192.168.1.12","TLSv1.2","1429","Application Data"
"23","0.083082","159.180.236.246","192.168.1.12","TLSv1.2","317","Application Data"
"24","0.083220","192.168.1.12","159.180.236.246","TCP","54","49018  >  4443 [ACK] Seq=10448 Ack=4022 Win=8212 Len=0"
"25","0.083557","192.168.1.12","159.180.236.246","TLSv1.2","126","Application Data"
"26","0.084625","159.180.236.246","192.168.1.12","TLSv1.2","507","Application Data"
"27","0.085764","192.168.1.12","159.180.236.246","TLSv1.2","235","Application Data"
"28","0.095346","159.180.236.246","192.168.1.12","TCP","60","4443  >  49018 [ACK] Seq=4475 Ack=10701 Win=1025 Len=0"
